evaluation_checkpoint,kl_with_cbp,kl_without_cbp,recon_with_cbp,recon_without_cbp,jq_with_cbp,jq_without_cbp,total_context_loss_with_cbp,total_context_loss_without_cbp
65,0.13199966042889483,0.26535729823822063,0.07556509308350941,0.16795412741069,0.135385,0.586711,0.34294975351240426,1.0200224256489107
66,0.13587712941602184,0.281430918738209,0.08097014192537733,0.1578990781863552,0.101077,0.545692,0.31792427134139914,0.9850219969245642
67,0.12095603906591706,0.28750879864346246,0.07556485580728037,0.16717277286315915,0.109189,0.524081,0.3057098948731974,0.9787625715066216
68,0.1179238060285636,0.26166780508030624,0.08428544423929968,0.16397336691107892,0.096024,0.515439,0.29823325026786327,0.9410801719913851
69,0.12941497983606493,0.26794162659084064,0.06002174296536669,0.15127251110604029,0.117263,0.483504,0.3066997228014316,0.9027181376968809
70,0.14594153461734025,0.2445462815752994,0.07884125980438557,0.15147535314019073,0.139105,0.489231,0.36388779442172583,0.88525263471549
71,0.10992543167956755,0.2635070579456122,0.06701940661762908,0.1589716903761402,0.089415,0.471201,0.26635983829719665,0.8936797483217524
72,0.11169761063667322,0.27052021899196316,0.06565086776830485,0.14333846482299265,0.081544,0.498276,0.2588924784049781,0.9121346838149559
73,0.11579513400890788,0.23616969078718733,0.0805354151245313,0.14213865018910332,0.102379,0.469217,0.2987095491334392,0.8475253409762906
74,0.12774988955010172,0.24639535871198742,0.05716079211944781,0.16167914467283642,0.08,0.445637,0.26491068166954953,0.8537115033848239
75,0.11112080244221545,0.24385804454239057,0.07167496865314582,0.16090521911650246,0.13,0.39,0.3127957710953613,0.794763263658893
